i1,i2,i3,i4,vdd,vc,I1_out,I2_out,I3_out,I4_out,p_out,e_out
1.196000e-05,7.428000e-06,7.428000e-06,7.428000e-06,1.200000e+00,1.000000e+00,2.468050e-05,-1.635325e-10,-1.635325e-10,-1.635325e-10,4.129530e-05,8.259060e-11
1.095000e-05,1.328000e-05,1.255000e-05,1.095000e-05,1.200000e+00,1.000000e+00,-1.776267e-10,2.343749e-05,1.267388e-06,-1.776267e-10,5.604239e-05,1.120848e-10
2.375000e-05,2.472000e-05,2.683000e-05,2.149000e-05,1.200000e+00,1.000000e+00,3.988708e-09,3.518862e-06,2.131295e-05,-1.824592e-10,9.221832e-05,1.844366e-10
3.920000e-06,3.920000e-06,3.920000e-06,6.190000e-06,1.200000e+00,1.000000e+00,-2.196744e-10,-2.196744e-10,-2.196744e-10,2.455634e-05,3.540385e-05,7.080770e-11

1.196000e-05,7.428000e-06,7.428000e-06,7.428000e-06,1.200000e+00,1.100000e+00,3.832820e-05,-2.137167e-10,-2.137167e-10,-2.137167e-10,5.819402e-05,1.163880e-10
1.095000e-05,1.328000e-05,1.255000e-05,1.095000e-05,1.200000e+00,1.100000e+00,-2.182289e-10,3.828757e-05,7.545496e-08,-2.182289e-10,7.035197e-05,1.407039e-10
2.375000e-05,2.472000e-05,2.683000e-05,2.149000e-05,1.200000e+00,1.100000e+00,7.442384e-09,2.048435e-08,3.854497e-05,-1.867125e-10,1.004909e-04,2.009817e-10
3.920000e-06,3.920000e-06,3.920000e-06,6.190000e-06,1.200000e+00,1.100000e+00,-2.291656e-10,-2.291656e-10,-2.291656e-10,3.812326e-05,5.192454e-05,1.038491e-10

1.196000e-05,7.428000e-06,7.428000e-06,7.428000e-06,1.200000e+00,1.200000e+00,5.395856e-05,-2.204941e-10,-2.204941e-10,-2.204941e-10,7.739918e-05,1.547984e-10
1.095000e-05,1.328000e-05,1.255000e-05,1.095000e-05,1.200000e+00,1.200000e+00,-2.128192e-10,5.389384e-05,1.180982e-07,-2.128192e-10,8.890948e-05,1.778190e-10
2.375000e-05,2.472000e-05,2.683000e-05,2.149000e-05,1.200000e+00,1.200000e+00,8.738563e-09,3.118241e-08,5.430088e-05,-1.864412e-10,1.138413e-04,2.276825e-10
3.920000e-06,3.920000e-06,3.920000e-06,6.190000e-06,1.200000e+00,1.200000e+00,-2.257810e-10,-2.257810e-10,-2.257810e-10,5.363670e-05,7.075758e-05,1.415152e-10

1.196000e-05,7.428000e-06,7.428000e-06,7.428000e-06,1.200000e+00,1.300000e+00,7.110802e-05,-2.217451e-10,-2.217451e-10,-2.217451e-10,9.838976e-05,1.967795e-10
1.095000e-05,1.328000e-05,1.255000e-05,1.095000e-05,1.200000e+00,1.300000e+00,-2.012247e-10,7.100620e-05,1.849930e-07,-2.012247e-10,1.100992e-04,2.201985e-10
2.375000e-05,2.472000e-05,2.683000e-05,2.149000e-05,1.200000e+00,1.300000e+00,1.202543e-08,5.015994e-08,7.162426e-05,-1.797961e-10,1.341175e-04,2.682349e-10
3.920000e-06,3.920000e-06,3.920000e-06,6.190000e-06,1.200000e+00,1.300000e+00,-2.103046e-10,-2.103046e-10,-2.103046e-10,7.061731e-05,9.133930e-05,1.826786e-10

1.196000e-05,7.428000e-06,7.428000e-06,7.428000e-06,1.200000e+00,1.400000e+00,8.937608e-05,-2.098541e-10,-2.098541e-10,-2.098541e-10,1.207132e-04,2.414263e-10
1.095000e-05,1.328000e-05,1.255000e-05,1.095000e-05,1.200000e+00,1.400000e+00,-9.218572e-11,8.922710e-05,2.726292e-07,-9.218572e-11,1.328515e-04,2.657029e-10
2.375000e-05,2.472000e-05,2.683000e-05,2.149000e-05,1.200000e+00,1.400000e+00,2.115075e-08,7.416359e-08,9.013788e-05,-1.631489e-10,1.573848e-04,3.147695e-10
3.920000e-06,3.920000e-06,3.920000e-06,6.190000e-06,1.200000e+00,1.400000e+00,-2.092185e-10,-2.092185e-10,-2.092185e-10,8.863598e-05,1.131622e-04,2.263245e-10

1.196000e-05,7.428000e-06,7.428000e-06,7.428000e-06,1.200000e+00,1.500000e+00,1.083821e-04,-8.464055e-11,-8.464055e-11,-8.464055e-11,1.439222e-04,2.878444e-10
1.095000e-05,1.328000e-05,1.255000e-05,1.095000e-05,1.200000e+00,1.500000e+00,1.042888e-11,1.081769e-04,3.856552e-07,1.042888e-11,1.565651e-04,3.131303e-10
2.375000e-05,2.472000e-05,2.683000e-05,2.149000e-05,1.200000e+00,1.500000e+00,3.617907e-08,1.037361e-07,1.095006e-04,-1.330448e-10,1.822022e-04,3.644043e-10
3.920000e-06,3.920000e-06,3.920000e-06,6.190000e-06,1.200000e+00,1.500000e+00,-2.056137e-10,-2.056137e-10,-2.056137e-10,1.072710e-04,1.357225e-04,2.714450e-10

1.196000e-05,7.428000e-06,7.428000e-06,7.428000e-06,1.200000e+00,1.600000e+00,1.277468e-04,-8.634994e-11,-8.634994e-11,-8.634994e-11,1.675624e-04,3.351247e-10
1.095000e-05,1.328000e-05,1.255000e-05,1.095000e-05,1.200000e+00,1.600000e+00,3.320770e-10,1.274819e-04,5.269924e-07,3.320770e-10,1.807660e-04,3.615320e-10
2.375000e-05,2.472000e-05,2.683000e-05,2.149000e-05,1.200000e+00,1.600000e+00,5.369841e-08,1.402862e-07,1.293891e-04,-4.301218e-11,2.078852e-04,4.157705e-10
3.920000e-06,3.920000e-06,3.920000e-06,6.190000e-06,1.200000e+00,1.600000e+00,-1.870826e-10,-1.870826e-10,-1.870826e-10,1.261105e-04,1.585268e-04,3.170535e-10
